Label	phylum	class	order	family	genus	species
u10521	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Megabirnaviridae	.	.
u105221	Duplornaviricota_Pisuviricota	.	.	.	.	Shahe arthropod virus 1
u105270	Lenarviricota	Miaviricetes_Amabiliviricetes	.	.	.	.
u10530	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	.	Diplodia scrobiculata RNA virus 1_Trichoderma asperellum dsRNA virus 1_Botrytis cinerea RNA virus 1_Sclerotinia sclerotiorum dsRNA mycovirus-L
u105443	Pisuviricota	.	.	.	.	.
u105533	Kitrinoviricota_Duplornaviricota_Pisuviricota	Alsuviricetes	.	.	.	.
u105545	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u105958	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae_Dicistroviridae	.	Varroa destructor virus 2
u105966	Kitrinoviricota	.	.	.	.	.
u105994	Pisuviricota	Duplopiviricetes	Durnavirales	.	.	.
u106018	Lenarviricota	Miaviricetes_Amabiliviricetes	Wolframvirales_Ourlivirales	Botourmiaviridae	.	.
u106079	Pisuviricota	Duplopiviricetes	Durnavirales	.	.	.
u106196	Pisuviricota	Pisoniviricetes	.	.	.	.
u106218	Pisuviricota_Kitrinoviricota	Pisoniviricetes_Tolucaviricetes	Sobelivirales_Tolivirales	Luteoviridae_Solemoviridae	.	Hubei sobemo-like virus 18
u106288	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	Beihai picorna-like virus 2
u10634	Negarnaviricota	Ellioviricetes	Bunyavirales	Tospoviridae_Peribunyaviridae_Fimoviridae	Orthotospovirus_Orthobunyavirus_Herbevirus_Pacuvirus_Emaravirus	Capsicum chlorosis orthotospovirus_Groundnut bud necrosis tospovirus_Triniti virus_Tomato spotted wilt tospovirus_Groundnut ringspot tospovirus_Melon yellow spot orthotospovirus_Soybean vein necrosis orthotospovirus_Impatiens necrotic spot tospovirus_Chrysanthemum stem necrosis orthotospovirus_Watermelon silver mottle tospovirus_Alstroemeria necrotic streak orthotospovirus_Calla lily chlorotic spot orthotospovirus_Pepper chlorotic spot orthotospovirus_Watermelon bud necrosis tospovirus_Mulberry vein banding virus_Zucchini lethal chlorosis orthotospovirus_Hippeastrum chlorotic ringspot orthotospovirus_Tomato chlorotic spot tospovirus_Polygonum ringspot tospovirus_Herbert herbevirus_Kibale herbevirus_Capim orthobunyavirus_Caraparu orthobunyavirus_Peaton orthobunyavirus_Akabane orthobunyavirus_Schmallenberg orthobunyavirus_Shuni orthobunyavirus_Wyeomyia orthobunyavirus_Melao orthobunyavirus_Aino orthobunyavirus_Keystone orthobunyavirus_Utinga orthobunyavirus_Wolkberg orthobunyavirus_Bwamba orthobunyavirus_Trivittatus orthobunyavirus_Manzanilla orthobunyavirus_Leanyer orthobunyavirus_Oropouche orthobunyavirus_Gan Gan virus_Tete orthobunyavirus_Cat Que orthobunyavirus_Tahyna orthobunyavirus_California encephalitis orthobunyavirus_Patois orthobunyavirus_La Crosse orthobunyavirus_Cache Valley orthobunyavirus_Jamestown Canyon orthobunyavirus_Kaeng Khoi orthobunyavirus_Main Drain orthobunyavirus_Anopheles A orthobunyavirus_Nyando orthobunyavirus_Gamboa orthobunyavirus_Bakau orthobunyavirus_Guama orthobunyavirus_Marituba orthobunyavirus_Guaroa orthobunyavirus_Anadyr orthobunyavirus_Tataguine orthobunyavirus_Anopheles B orthobunyavirus_Batai orthobunyavirus_Kairi orthobunyavirus_Bunyamwera orthobunyavirus_Turlock orthobunyavirus_Oriboca orthobunyavirus_Calovo virus_Maguari orthobunyavirus_Bertioga orthobunyavirus_Ilesha orthobunyavirus_Trubanaman virus_Tensaw orthobunyavirus_Pear chlorotic leaf spot-associated virus
u106501	.	.	.	.	.	.
u106512	Pisuviricota_Duplornaviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	.	.
u106526	Kitrinoviricota_Pisuviricota_Duplornaviricota	.	.	.	.	.
u106528	Pisuviricota	Pisoniviricetes	.	.	.	.
u106603	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	Youcai mosaic virus
u106619	Pisuviricota	.	.	.	.	.
u106691	Kitrinoviricota	.	.	.	.	.
u106721	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	.	.
u106723	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u106753	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	.	.
u106780	Pisuviricota	.	.	.	.	.
u10681	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	.	.
u106849	.	.	.	.	.	.
u106873	Lenarviricota	Howeltoviricetes_Amabiliviricetes	Cryppavirales	Mitoviridae	.	.
u10694	Kitrinoviricota_Pisuviricota	Tolucaviricetes_Pisoniviricetes	Tolivirales_Sobelivirales	Luteoviridae	.	.
u107044	Kitrinoviricota	.	.	.	.	.
u107119	.	.	.	.	.	.
u107150	Lenarviricota	Allassoviricetes	.	.	.	.
u107272	Lenarviricota	Miaviricetes	Ourlivirales	.	.	.
u107305	Pisuviricota	.	.	.	.	.
u107334	.	.	.	.	.	.
u10750	.	.	.	.	.	.
u107718	Kitrinoviricota	Tolucaviricetes	.	.	.	.
u107719	.	.	.	.	.	.
u107876	.	.	.	.	.	.
u107941	Kitrinoviricota	Alsuviricetes	.	.	.	.
u107974	Pisuviricota	.	.	.	.	.
u108032	Pisuviricota	Pisoniviricetes	.	.	.	.
u108110	.	.	.	.	.	.
u108115	Pisuviricota	.	.	.	.	.
u108129	Lenarviricota	Howeltoviricetes	Cryppavirales	.	.	.
u108142	Kitrinoviricota	.	.	.	.	.
u108195	Kitrinoviricota_Duplornaviricota	Tolucaviricetes_Chrymotiviricetes	Tolivirales	Tombusviridae_Luteoviridae	Aureusvirus_Tombusvirus	.
u108260	Duplornaviricota	.	.	.	.	.
u108387	Pisuviricota	Duplopiviricetes	Durnavirales	.	.	.
u108421	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u108451	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u108474	Lenarviricota	Miaviricetes	.	.	.	.
u108492	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	.	.
u108590	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus B
u10862	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	.	.
u10866	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	.	Shenzhen reo-like virus 2
u10876	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	.	.
u108791	Pisuviricota	.	.	.	.	.
u108801	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	Mitovirus	.
u108802	Lenarviricota	Howeltoviricetes	Cryppavirales	.	.	.
u108929	.	.	.	.	.	.
u108960	.	.	.	.	.	.
u108968	.	.	.	.	.	.
u109041	Lenarviricota	Allassoviricetes	.	.	.	.
u109051	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	Leviviridae sp.
u109057	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u109060	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u109068	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae_Luteoviridae	Luteovirus_Tombusvirus_Aureusvirus	Barley yellow dwarf virus PAV_Barley yellow dwarf virus GAV_Elderberry aureusvirus 1
u109110	Pisuviricota	.	.	.	.	.
u109121	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	Mitovirus	Mitovirus sp.
u109122	Kitrinoviricota	Magsaviricetes	.	.	.	.
u109127	Lenarviricota	Allassoviricetes	.	.	.	.
u109256	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	.	.
u109348	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u109751	Kitrinoviricota	Magsaviricetes	Nodamuvirales	.	.	.
u109809	.	.	.	.	.	.
u10981	Negarnaviricota	Ellioviricetes	Bunyavirales	Tospoviridae	Orthotospovirus	Tomato spotted wilt tospovirus_Alstroemeria necrotic streak orthotospovirus_Tomato chlorotic spot tospovirus
u109892	.	.	.	.	.	.
u109953	Kitrinoviricota	Alsuviricetes	.	.	.	.
u109954	Kitrinoviricota	Tolucaviricetes	.	.	.	.
u109955	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u109965	Pisuviricota	.	.	.	.	.
u110028	Pisuviricota	Stelpaviricetes	.	.	.	.
u110029	Lenarviricota	Allassoviricetes	.	.	.	.
u110035	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u11019	Pisuviricota	Pisoniviricetes	Nidovirales	.	.	.
u110300	Kitrinoviricota	Tolucaviricetes	Tolivirales	.	.	.
u110307	Lenarviricota_Pisuviricota_Kitrinoviricota_Artverviricota	.	.	.	.	.
u110309	.	.	.	.	.	.
u110332	Lenarviricota	Allassoviricetes	.	.	.	.
u110345	Pisuviricota	.	.	.	.	.
u110371	.	.	.	.	.	.
u110401	.	.	.	.	.	.
u110451	Kitrinoviricota	Alsuviricetes	.	.	.	.
u110482	.	.	.	.	.	.
u110499	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Passerivirus_Kobuvirus_Gallivirus_Oscivirus_Shanbavirus_Cosavirus_Cardiovirus_Erbovirus	Oscivirus A_Aichivirus C_Aichivirus A_Aichivirus B_Tortoise rafivirus A_Cosavirus A_Human cosavirus_Cardiovirus C_Erbovirus A
u110508	Kitrinoviricota_Pisuviricota	.	.	.	.	.
u110544	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u110698	.	.	.	.	.	.
u110764	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	.	.
u110766	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	.	.
u110809	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u11095	Kitrinoviricota_Pisuviricota	Pisoniviricetes_Tolucaviricetes	Sobelivirales	.	.	Varroa destructor virus 3
u110977	.	.	.	.	.	.
u111018	Pisuviricota	Duplopiviricetes	Durnavirales	.	.	.
u111023	.	.	.	.	.	.
u111031	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u111194	.	.	.	.	.	.
u111266	Lenarviricota	Howeltoviricetes	.	.	.	.
u111281	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	.	.
u111366	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	.	Phytophthora infestans RNA virus 4_Matryoshka RNA virus 1
u11145	Kitrinoviricota_Pisuviricota	.	.	.	.	.
u111625	Kitrinoviricota	.	.	.	.	.
u111732	Pisuviricota	Pisoniviricetes	.	.	.	.
u111942	.	.	.	.	.	.
u112070	.	.	.	.	.	.
u112113	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	.	Racaecavirus sp._St-Valerien swine virus
u112140	.	.	.	.	.	.
u112227	Kitrinoviricota	.	.	.	.	.
u112243	Kitrinoviricota	Alsuviricetes	Tymovirales	Alphaflexiviridae	Allexivirus_Potexvirus_Platypuvirus	Garlic virus X_White clover mosaic virus_Schlumbergera virus X_Cymbidium mosaic virus_Shallot virus X_Actinidia virus X_Potato virus X_Strawberry mild yellow edge virus
u112291	.	.	.	.	.	.
u112296	Kitrinoviricota_Pisuviricota	.	.	.	.	.
u112419	Duplornaviricota	Chrymotiviricetes	.	.	.	.
u112501	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u112513	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	Iflavirus	Deformed wing virus
u112641	Pisuviricota	Duplopiviricetes	Durnavirales	.	.	.
u112674	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	.	.
u112701	Pisuviricota	Pisoniviricetes	.	.	.	.
u112751	Kitrinoviricota	.	.	.	.	.
u112847	Duplornaviricota	Chrymotiviricetes	.	.	.	.
u11304	.	.	.	.	.	.
u113090	.	.	.	.	.	.
u113165	Kitrinoviricota_Pisuviricota	Magsaviricetes_Pisoniviricetes	Nodamuvirales_Picornavirales	Nodaviridae	.	.
u113263	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u113279	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Sclerotinia sclerotiorum ourmia-like virus 4_Plasmopara viticola lesion associated ourmia-like virus 86
u113284	Pisuviricota	Pisoniviricetes_Duplopiviricetes	Picornavirales_Durnavirales	.	.	Kumba picobirna-like virus
u113414	Pisuviricota	.	.	.	.	.
u113442	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u113477	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u113539	Kitrinoviricota_Pisuviricota	.	.	.	.	.
u113557	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u11363	Pisuviricota_Duplornaviricota	Duplopiviricetes_Chrymotiviricetes	Durnavirales_Ghabrivirales	Partitiviridae_Quadriviridae	Alphapartitivirus_Quadrivirus	Rosellinia necatrix quadrivirus 1
u113741	.	.	.	.	.	.
u113816	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	.	.
u113950	.	.	.	.	.	.
u113975	Kitrinoviricota	Magsaviricetes	Nodamuvirales	.	.	.
u114053	Pisuviricota	Pisoniviricetes	.	.	.	.
u114126	Kitrinoviricota	.	.	.	.	.
u114166	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	.	.
u114232	.	.	.	.	.	.
u114325	.	.	.	.	.	.
u114354	.	.	.	.	.	.
u114395	.	.	.	.	.	.
u114478	Pisuviricota	.	.	.	.	.
u114517	Pisuviricota	Pisoniviricetes	.	.	.	.
u114534	Pisuviricota	.	.	.	.	.
u114596	Pisuviricota_Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	.	.
u114678	Lenarviricota	Allassoviricetes	.	.	.	.
u114822	Pisuviricota_Kitrinoviricota	Pisoniviricetes_Magsaviricetes	Picornavirales_Nodamuvirales	Nodaviridae	.	.
u115061	.	.	.	.	.	.
u115080	Kitrinoviricota	Magsaviricetes	.	.	.	.
u115149	Pisuviricota	.	.	.	.	.
u115174	.	.	.	.	.	.
u115298	Pisuviricota	Pisoniviricetes	Sobelivirales	.	.	.
u115394	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u115617	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u115629	Kitrinoviricota	Tolucaviricetes	.	.	.	.
u115641	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	.	.
u115649	Pisuviricota	Pisoniviricetes	.	.	.	.
u115680	Lenarviricota	Allassoviricetes	.	.	.	.
u115770	.	.	.	.	.	.
u115822	.	.	.	.	.	.
u115888	Pisuviricota	Pisoniviricetes	.	.	.	.
u115939	Pisuviricota	Pisoniviricetes	.	.	.	.
u116099	.	.	.	.	.	.
u11610	Kitrinoviricota	Flasuviricetes	Amarillovirales	.	.	.
u116108	Pisuviricota	.	.	.	.	.
u116165	Pisuviricota	.	.	.	.	.
u11617	.	.	.	.	.	.
u11618	.	.	.	.	.	.
u116222	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	.	.
u116269	Kitrinoviricota_Pisuviricota	Pisoniviricetes	.	.	.	.
u116371	Pisuviricota	Pisoniviricetes	Picornavirales	Marnaviridae	.	.
u116396	Lenarviricota	Allassoviricetes	.	.	.	.
u116442	Pisuviricota	Pisoniviricetes	.	.	.	.
u116493	Lenarviricota	Howeltoviricetes	Cryppavirales	.	.	.
u11664	Negarnaviricota	.	.	.	.	.
u116743	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u116775	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u11683	Duplornaviricota_Kitrinoviricota	Alsuviricetes	.	.	.	Wenling crustacean virus 1
u116920	Kitrinoviricota_Pisuviricota_Lenarviricota	Tolucaviricetes_Flasuviricetes	Tolivirales	.	.	.
u11695	.	.	.	.	.	Hubei tetragnatha maxillosa virus 7
u117104	Pisuviricota	.	.	.	.	.
u117106	.	.	.	.	.	.
u117133	Lenarviricota	Howeltoviricetes	Cryppavirales	.	.	.
u117143	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u117168	Duplornaviricota	Chrymotiviricetes	.	.	.	.
u117217	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u11723	Pisuviricota	.	.	.	.	.
u117264	Kitrinoviricota	.	.	.	.	.
u11727	Pisuviricota	.	.	.	.	.
u117282	Duplornaviricota	.	.	.	.	.
u117331	Lenarviricota	.	.	.	.	.
u117387	Lenarviricota	Allassoviricetes	.	.	.	.
u117507	Pisuviricota	Pisoniviricetes	.	.	.	.
u117570	Lenarviricota	.	.	.	.	.
u117697	.	.	.	.	.	.
u117720	Kitrinoviricota_Pisuviricota	Tolucaviricetes	.	.	.	.
u117831	Pisuviricota	Pisoniviricetes	.	.	.	.
u11794	Duplornaviricota_Pisuviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Giardiavirus	Giardia lamblia virus
u117954	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
