Label	phylum	class	order	family	genus	species
u163631	Pisuviricota	Duplopiviricetes	.	.	.	.
u163639	Kitrinoviricota_Pisuviricota	Duplopiviricetes_Pisoniviricetes	.	.	.	.
u163659	Lenarviricota	Howeltoviricetes_Amabiliviricetes	Cryppavirales_Wolframvirales	Mitoviridae_Narnaviridae	Mitovirus	Mitovirus sp.
u163696	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	.	Rosellinia necatrix megatotivirus 1
u163809	Pisuviricota	.	.	.	.	.
u163819	.	.	.	.	.	.
u16383	Negarnaviricota	.	.	.	.	.
u163838	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	.	.
u163957	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	.
u16396	Pisuviricota	Duplopiviricetes	.	.	.	.
u163969	Pisuviricota	Pisoniviricetes	.	.	.	.
u164002	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Triatovirus	.
u164129	Kitrinoviricota	Flasuviricetes	.	.	.	.
u16420	Pisuviricota	Duplopiviricetes	Durnavirales	Hypoviridae	Hypovirus	Sclerotinia sclerotiorum hypovirus 2
u164307	.	.	.	.	.	.
u164321	Kitrinoviricota_Pisuviricota	Magsaviricetes_Pisoniviricetes	Nodamuvirales_Picornavirales	.	.	.
u164322	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u164411	Kitrinoviricota	Tolucaviricetes	.	.	.	.
u164497	Pisuviricota	Pisoniviricetes	.	.	.	.
u164518	.	.	.	.	.	.
u164535	Kitrinoviricota	.	.	.	.	.
u164537	.	.	.	.	.	.
u164545	Kitrinoviricota	.	.	.	.	.
u164547	.	.	.	.	.	.
u164548	.	.	.	.	.	.
u164578	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u164602	.	.	.	.	.	.
u164686	Pisuviricota	.	.	.	.	.
u164697	Pisuviricota	Pisoniviricetes_Duplopiviricetes	.	.	.	.
u164900	Lenarviricota	Allassoviricetes	.	.	.	.
u164909	.	.	.	.	.	.
u164929	Lenarviricota	Allassoviricetes	.	.	.	.
u164977	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u165104	Lenarviricota	Allassoviricetes	.	.	.	.
u165127	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u16515	Kitrinoviricota	Magsaviricetes	Nodamuvirales	Nodaviridae	.	Melnik nodavirus_Santeuil nodavirus_Le Blanc nodavirus
u165170	.	.	.	.	.	.
u165190	Kitrinoviricota	.	.	.	.	.
u165191	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	.	.
u165240	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u165249	Kitrinoviricota	Alsuviricetes	Tymovirales	Tymoviridae	Marafivirus	Grapevine Syrah virus 1
u165279	Negarnaviricota	.	.	.	.	.
u165281	Kitrinoviricota_Pisuviricota	Alsuviricetes_Stelpaviricetes	Hepelivirales_Stellavirales	Astroviridae	.	Bastrovirus BAS-3
u165410	Kitrinoviricota	Alsuviricetes	.	.	.	.
u165431	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u165444	Kitrinoviricota	.	.	.	.	.
u165552	Kitrinoviricota	.	.	.	.	.
u165571	Kitrinoviricota	Magsaviricetes	Nodamuvirales	Nodaviridae	.	Craigies Hill virus
u165585	Kitrinoviricota	.	.	.	.	.
u165621	Lenarviricota	Miaviricetes	Ourlivirales	.	.	.
u165625	Pisuviricota	Pisoniviricetes	.	.	.	.
u165709	.	.	.	.	.	.
u165795	Pisuviricota	Duplopiviricetes	.	.	.	.
u165829	Lenarviricota	Allassoviricetes	.	.	.	.
u165861	.	.	.	.	.	.
u165896	.	.	.	.	.	.
u165987	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	.	.
u166088	Kitrinoviricota	Alsuviricetes	.	.	.	.
u166116	Duplornaviricota	Chrymotiviricetes	.	.	.	.
u166202	Lenarviricota	Amabiliviricetes_Howeltoviricetes	.	.	.	.
u166249	Pisuviricota	Pisoniviricetes	.	.	.	.
u166257	Lenarviricota	Howeltoviricetes	Cryppavirales	.	.	.
u166258	.	.	.	.	.	.
u166296	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	.	.
u166305	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	.	Pigeon picornavirus B
u166376	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u166495	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	.	.
u166497	Kitrinoviricota_Pisuviricota	Alsuviricetes_Stelpaviricetes	Martellivirales	Togaviridae	.	.
u166511	Pisuviricota	.	.	.	.	.
u166579	Pisuviricota	Duplopiviricetes	Durnavirales	.	.	.
u166601	.	.	.	.	.	.
u166625	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	Cytorhabdovirus	Rice stripe mosaic cytorhabdovirus
u166650	Lenarviricota	Amabiliviricetes_Miaviricetes	Wolframvirales_Ourlivirales	Narnaviridae	.	.
u166656	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	.	.
u16668	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
u166692	Pisuviricota	Pisoniviricetes	.	.	.	.
u166698	Kitrinoviricota	.	.	.	.	.
u166703	Pisuviricota	Pisoniviricetes	.	.	.	.
u16676	Pisuviricota	.	.	.	.	.
u166819	Lenarviricota	Howeltoviricetes_Amabiliviricetes	Cryppavirales_Wolframvirales	Mitoviridae_Narnaviridae	Mitovirus	Mitovirus sp._Sclerotinia sclerotiorum mitovirus 2_Bremia lactucae associated mitovirus 1
u166830	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	.	.
u166946	Kitrinoviricota	Alsuviricetes	.	.	.	Agaricus bisporus virus 13
u167009	Lenarviricota	Howeltoviricetes	Cryppavirales	.	.	.
u167020	Pisuviricota	.	.	.	.	.
u167024	Pisuviricota	Pisoniviricetes_Stelpaviricetes	Picornavirales	.	.	Robinvale bee virus 5_Hubei picorna-like virus 79
u167061	Lenarviricota	Howeltoviricetes	Cryppavirales	.	.	.
u167063	Lenarviricota	Miaviricetes_Amabiliviricetes	Ourlivirales	Botourmiaviridae	.	.
u167065	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u167073	Pisuviricota	Duplopiviricetes	.	.	.	.
u167109	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u167190	.	.	.	.	.	.
u167241	.	.	.	.	.	.
u167262	Kitrinoviricota	Magsaviricetes	.	.	.	.
u167272	.	.	.	.	.	.
u167350	Pisuviricota	Duplopiviricetes	Durnavirales	.	.	.
u167370	Pisuviricota_Duplornaviricota	Pisoniviricetes_Stelpaviricetes_Chrymotiviricetes	Picornavirales	Iflaviridae	Iflavirus	Iflaviridae sp._Burke-Gilman virus_Slow bee paralysis virus
u167424	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u167427	Pisuviricota	.	.	.	.	.
u167498	Pisuviricota	Duplopiviricetes	.	.	.	.
u167553	.	.	.	.	.	.
u167597	Pisuviricota	Duplopiviricetes	.	.	.	.
u167610	Pisuviricota_Kitrinoviricota	.	.	.	.	.
u167636	Negarnaviricota	Insthoviricetes	.	.	.	.
u167642	.	.	.	.	.	.
u167724	Pisuviricota	.	.	.	.	.
u167735	Lenarviricota	Miaviricetes_Amabiliviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Sclerotinia sclerotiorum ourmia-like virus 4
u167745	.	.	.	.	.	.
u167816	Kitrinoviricota	.	.	.	.	.
u167884	.	.	.	.	.	.
u167921	.	.	.	.	.	.
u167952	Kitrinoviricota	.	.	.	.	.
u167976	Pisuviricota	.	.	.	.	.
u167977	Pisuviricota	.	.	.	.	.
u168017	.	.	.	.	.	.
u168021	.	.	.	.	.	.
u168049	.	.	.	.	.	.
u168131	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Alphapartitivirus	.
u168138	.	.	.	.	.	.
u168398	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u168441	Pisuviricota	Pisoniviricetes	.	.	.	Beihai picorna-like virus 66
u168558	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	.	.
u168737	.	.	.	.	.	.
u168742	.	.	.	.	.	.
u168770	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u168776	.	.	.	.	.	.
u168783	Kitrinoviricota	Alsuviricetes	.	.	.	.
u168867	Lenarviricota	.	.	.	.	.
u168870	.	.	.	.	.	.
u168884	Lenarviricota	Allassoviricetes	.	.	.	.
u168898	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	Mitovirus	Entomophthora muscae mitovirus 5
u168914	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u168926	Lenarviricota	Allassoviricetes	.	.	.	.
u168929	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	Mitovirus	.
u168993	Kitrinoviricota	Tolucaviricetes	.	.	.	.
u169023	Duplornaviricota	Chrymotiviricetes	.	.	.	.
u169134	Kitrinoviricota	Tolucaviricetes	Tolivirales	.	.	.
u169151	Pisuviricota	.	.	.	.	.
u169242	Lenarviricota	Allassoviricetes	.	.	.	.
u169294	.	.	.	.	.	.
u169380	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u169382	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	uncultured marine RNA virus
u169394	Lenarviricota	Howeltoviricetes	Cryppavirales	.	.	.
u169588	.	.	.	.	.	.
u169604	Lenarviricota	Miaviricetes_Amabiliviricetes	Wolframvirales	Narnaviridae	.	.
u169665	Kitrinoviricota	Tolucaviricetes	.	.	.	.
u169679	Kitrinoviricota	Tolucaviricetes	Tolivirales	Luteoviridae	Polerovirus	Cotton leafroll dwarf virus
u169706	Negarnaviricota	Ellioviricetes	Bunyavirales	Arenaviridae	.	.
u169707	Lenarviricota	Allassoviricetes	.	.	.	.
u169728	Pisuviricota	.	.	.	.	.
u169733	Pisuviricota	.	.	.	.	.
u169736	Pisuviricota	.	.	.	.	.
u169831	Lenarviricota	Allassoviricetes	.	.	.	.
u169953	Pisuviricota	Duplopiviricetes_Pisoniviricetes	Durnavirales	Picobirnaviridae	.	.
u170022	.	.	.	.	.	.
u170083	Pisuviricota	Duplopiviricetes	Durnavirales	.	.	.
u170119	.	.	.	.	.	.
u170177	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Cripavirus	Beihai picorna-like virus 73_Drosophila C virus_Cricket paralysis virus
u170209	.	.	.	.	.	.
u170307	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	.	.
u170335	.	.	.	.	.	.
u170529	Pisuviricota	Pisoniviricetes	.	.	.	.
u170530	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus_Avastrovirus	Rodent astrovirus_Porcine astrovirus 4_Porcine astrovirus 2_Murine astrovirus 2_Bovine astrovirus_Mamastrovirus 3_Dromedary astrovirus_Mamastrovirus 2_Mamastrovirus 1_Murine astrovirus_Bovine astrovirus CH13_HMO Astrovirus A_Mamastrovirus 9_Mamastrovirus 10_Bat astrovirus 1_Goose astrovirus_Duck astrovirus GII.A_Chicken astrovirus_Avastrovirus 3_Turkey astrovirus_Feral pigeon astrovirus_Avian nephritis virus_Avastrovirus 2_Canine astrovirus_Porcine astrovirus 3_Mamastrovirus 13_Tasmanian devil-associated astrovirus 1_Human astrovirus_Astrovirus MLB1_Astrovirus MLB2_Porcine astrovirus 5
u170641	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	.	.
u170742	Kitrinoviricota	Magsaviricetes	.	.	.	.
u170794	Pisuviricota	Pisoniviricetes	.	.	.	.
u170836	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u170903	.	.	.	.	.	.
u17092	.	.	.	.	.	.
u170981	Pisuviricota	Pisoniviricetes	.	.	.	.
u170991	.	.	.	.	.	.
u171010	Pisuviricota	.	.	.	.	.
u171014	Negarnaviricota	Monjiviricetes	Mononegavirales	Nyamiviridae	.	.
u171078	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	.	.
u171186	Pisuviricota	.	.	.	.	.
u171362	Pisuviricota	.	.	.	.	.
u171412	Kitrinoviricota	.	.	.	.	.
u171425	Pisuviricota	Pisoniviricetes	.	.	.	.
u171518	Pisuviricota	Duplopiviricetes	.	.	.	.
u171532	Pisuviricota	Pisoniviricetes	Picornavirales	Marnaviridae	.	.
u171583	.	.	.	.	.	.
u171587	Kitrinoviricota	.	.	.	.	.
u171599	Pisuviricota	Pisoniviricetes	Picornavirales	Polycipiviridae	Sopolycivirus	.
u171644	.	.	.	.	.	.
u171671	Kitrinoviricota_Pisuviricota	Duplopiviricetes	.	.	.	.
u171701	Kitrinoviricota	Magsaviricetes	.	.	.	.
u171711	Pisuviricota	.	.	.	.	.
u171713	Kitrinoviricota	Alsuviricetes	.	.	.	.
u171721	Pisuviricota	Duplopiviricetes	.	.	.	.
u171754	.	.	.	.	.	.
u171759	Pisuviricota	Duplopiviricetes	Durnavirales	.	.	.
u171784	Kitrinoviricota	Alsuviricetes	.	.	.	.
u17189	Pisuviricota	Pisoniviricetes	.	.	.	.
u171890	Negarnaviricota	Monjiviricetes	Mononegavirales	Nyamiviridae	.	.
u17191	.	.	.	.	.	.
u171955	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae_Marnaviridae	Marnavirus	.
u172020	Pisuviricota	Duplopiviricetes	Durnavirales	.	.	.
u172068	.	.	.	.	.	.
u172097	Negarnaviricota	Ellioviricetes	Bunyavirales	.	.	Santiago bunya-like virus
u172192	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	.	.
u172225	Kitrinoviricota	Tolucaviricetes	.	.	.	.
u172226	Pisuviricota	.	.	.	.	.
u172252	.	.	.	.	.	.
u172289	Kitrinoviricota	Alsuviricetes	Tymovirales	.	.	.
u172389	.	.	.	.	.	Lentinula edodes mycovirus HKB
u172442	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	.	.	.
u172478	Kitrinoviricota	Alsuviricetes	.	.	.	.
u172491	Kitrinoviricota	Alsuviricetes	Martellivirales	.	.	.
u172493	.	.	.	.	.	.
u172502	Pisuviricota	.	.	.	.	.
u172504	Pisuviricota	.	.	.	.	.
u172553	Kitrinoviricota_Pisuviricota	Magsaviricetes	.	.	.	.
u172667	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Phytoreovirus	Rice dwarf virus
u172683	.	.	.	.	.	.
u172723	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	.	.
u172771	Duplornaviricota_Pisuviricota	.	.	Polymycoviridae	Polymycovirus	Aspergillus fumigatus polymycovirus 1_Beauveria bassiana polymycovirus 1
u17281	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	.	.
u17282	Negarnaviricota	.	.	.	.	.
u172828	Kitrinoviricota	Alsuviricetes	Tymovirales	Gammaflexiviridae	.	Entoleuca gammaflexivirus 2
u172834	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Rosavirus_Dicipivirus_Livupivirus_Kobuvirus_Shanbavirus_Parechovirus_Mosavirus_Cardiovirus_Hunnivirus	Rosavirus C_Rosavirus B_Rosavirus A_Livupivirus A_Aichivirus E_Picornaviridae sp._Cardiovirus B_Shanbavirus A_Hunnivirus 83GR
u172850	.	.	.	.	.	.
u172872	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u172887	Lenarviricota	Amabiliviricetes_Howeltoviricetes	Wolframvirales_Cryppavirales	Narnaviridae	.	.
u172899	Pisuviricota	Pisoniviricetes	.	.	.	.
u172952	Pisuviricota	Pisoniviricetes	.	.	.	.
u173025	.	.	.	.	.	.
u173030	.	.	.	.	.	.
u173041	Duplornaviricota	Chrymotiviricetes	.	.	.	.
u173058	Negarnaviricota	Monjiviricetes	.	.	.	.
u173210	.	.	.	.	.	.
u173217	.	.	.	.	.	.
u173219	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Cheravirus	Arracacha virus B
u173225	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	.	.	.
u173335	Pisuviricota	Duplopiviricetes	Durnavirales	Amalgaviridae	Amalgavirus	Medicago sativa amalgavirus 1_Blueberry latent virus
u173384	.	.	.	.	.	.
u1734	.	.	.	.	.	Hubei earwig virus 3
u173413	Kitrinoviricota	Alsuviricetes	.	.	.	.
u173446	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	Alphaendornavirus	Bell pepper alphaendornavirus_Phaseolus vulgaris alphaendornavirus 1
u173494	Negarnaviricota	.	.	.	.	.
u173547	Lenarviricota	.	.	.	.	.
u173593	Pisuviricota	Pisoniviricetes	.	.	.	.
u173830	Pisuviricota	Pisoniviricetes	.	.	.	.
u173831	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	Nucleorhabdovirus_Alphanucleorhabdovirus	Guadeloupe Culex rhabdovirus_Eggplant mottled dwarf nucleorhabdovirus_Physostegia chlorotic mottle alphanucleorhabdovirus_Papaya nucleorhabdovirus 1_Potato yellow dwarf nucleorhabdovirus
u173838	.	.	.	.	.	.
u173913	Lenarviricota	Howeltoviricetes_Amabiliviricetes	Cryppavirales	.	.	.
u173992	.	.	.	.	.	.
u174018	.	.	.	.	.	Hubei blood fluke virus 2_Hubei blood fluke virus 1
u174081	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	Biomphalaria virus 1
u174173	Kitrinoviricota	.	.	.	.	.
u174195	.	.	.	.	.	.
u174224	Pisuviricota	Pisoniviricetes	Nidovirales	Mesoniviridae	Alphamesonivirus	Alphamesonivirus 1_Alphamesonivirus 10_Yichang virus
u174235	Kitrinoviricota	.	.	.	.	.
u174239	Pisuviricota	Pisoniviricetes	.	.	.	.
u174241	Pisuviricota	Pisoniviricetes	.	.	.	.
u174266	Pisuviricota	.	.	.	.	.
u174307	Lenarviricota	Allassoviricetes	.	.	.	.
u174350	.	.	.	.	.	.
u174384	Lenarviricota	Allassoviricetes	.	.	.	.
u174390	Pisuviricota	.	.	.	.	.
u174402	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u174519	Kitrinoviricota	Tolucaviricetes	.	.	.	.
u174659	Kitrinoviricota	Alsuviricetes	Tymovirales	Tymoviridae	.	.
u174755	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u174777	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u174839	Pisuviricota	Pisoniviricetes	.	.	.	.
u174860	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus C_Aichivirus B_Aichivirus A_Kobuvirus sp._Canine kobuvirus_Ferret kobuvirus_Caprine kobuvirus
u174980	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	.	Culex Iflavi-like virus 4
u174990	Pisuviricota_Kitrinoviricota	Magsaviricetes_Pisoniviricetes	Nodamuvirales_Picornavirales	.	.	.
u175024	Pisuviricota_Kitrinoviricota	Pisoniviricetes_Tolucaviricetes	Sobelivirales	Solemoviridae	.	Riboviria sp.
u175074	Pisuviricota_Duplornaviricota	Pisoniviricetes	.	.	.	.
u175077	.	.	.	.	.	.
u175138	.	.	.	.	.	.
u175203	Lenarviricota	Howeltoviricetes	Cryppavirales	.	.	.
u175254	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u175442	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u175448	.	.	.	.	.	.
u175469	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	Penicillium digitatum virus 1
u175531	Pisuviricota	Pisoniviricetes	.	.	.	.
u175585	Pisuviricota	Pisoniviricetes	.	.	.	.
u175590	.	.	.	.	.	.
u175599	Kitrinoviricota_Pisuviricota	Tolucaviricetes_Pisoniviricetes	Sobelivirales	.	.	.
u175626	Pisuviricota_Kitrinoviricota	.	.	.	.	.
u175656	Pisuviricota	Pisoniviricetes	.	.	.	.
u175783	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u175876	Pisuviricota	Duplopiviricetes	Durnavirales	Picobirnaviridae	.	.
u175883	.	.	.	.	.	.
u175906	Kitrinoviricota_Pisuviricota	Magsaviricetes_Pisoniviricetes	.	.	.	.
u175960	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u176027	Pisuviricota	Pisoniviricetes	.	.	.	.
u176066	Pisuviricota	.	.	.	.	.
u176069	Pisuviricota	Pisoniviricetes	.	.	.	.
u176070	Pisuviricota	Duplopiviricetes	.	.	.	.
u176158	Lenarviricota	Amabiliviricetes_Howeltoviricetes	Wolframvirales	Narnaviridae	.	.
u17621	.	.	.	.	.	.
u176226	Lenarviricota	Allassoviricetes	.	.	.	.
u176279	Pisuviricota	Pisoniviricetes	.	.	.	.
u176283	Pisuviricota_Kitrinoviricota	Pisoniviricetes	Sobelivirales	.	.	Wuhan heteroptera virus 2
u176294	.	.	.	.	.	.
u176384	Pisuviricota	Pisoniviricetes	.	.	.	.
u176385	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u176405	.	.	.	.	.	.
u176428	.	.	.	.	.	.
u176487	.	.	.	.	.	.
u176494	Kitrinoviricota	.	.	.	.	Wenzhou partiti-like virus 1
u176680	Duplornaviricota	Chrymotiviricetes	.	.	.	.
u176709	Kitrinoviricota	.	.	.	.	.
u176714	Lenarviricota	Amabiliviricetes_Howeltoviricetes	Wolframvirales_Cryppavirales	.	.	.
u176875	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u176898	Pisuviricota	.	.	.	.	.
u176930	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u176970	Kitrinoviricota	Tolucaviricetes	.	.	.	.
u177005	.	.	.	.	.	.
u177060	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	Leviviridae sp.
u177068	Kitrinoviricota	Alsuviricetes	.	.	.	.
u177080	.	.	.	.	.	.
u177099	.	.	.	.	.	.
u17713	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Aroa virus_Spondweni virus_Japanese encephalitis virus_Sepik virus_Usutu virus_Yellow fever virus_West Nile virus_Rio Bravo virus_Banzi virus_Uganda S virus_Wesselsbron virus_Yaounde virus_Saboya virus_Barkedji virus_Murray Valley encephalitis virus_Jugra virus_Sokoluk virus_Cacipacore virus_Phnom Penh bat virus_Mediterranean Culex Flavivirus_Ochlerotatus caspius flavivirus_Mediterranean Ochlerotatus Flavivirus_Tick-borne encephalitis virus_Royal Farm virus_Gadgets Gully virus_Tyuleniy virus_Omsk hemorrhagic fever virus_Kedougou virus_Nounane virus_Alongshan virus_Mogiana tick virus
u177223	Kitrinoviricota	Tolucaviricetes	.	.	.	.
u177249	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u177343	.	.	.	.	.	.
u177352	.	.	.	.	.	.
u177383	Pisuviricota	Pisoniviricetes	.	.	.	.
u177486	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u177579	Kitrinoviricota	.	.	.	.	.
u177602	.	.	.	.	.	.
u177615	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u177657	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u177665	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	Mitovirus	.
u177670	Kitrinoviricota	Tolucaviricetes_Alsuviricetes	Tolivirales	.	.	.
u177717	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u177793	.	.	.	.	.	.
u177864	.	.	.	.	.	.
u177924	Lenarviricota	Amabiliviricetes	.	.	.	.
u177960	.	.	.	.	.	.
u177988	.	.	.	.	.	.
u177994	.	.	.	.	.	.
u178079	.	.	.	.	.	.
u178134	.	.	.	.	.	.
u178263	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u178366	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	.	Diaphorina citri reovirus
u178370	Lenarviricota	Allassoviricetes	.	.	.	.
u178410	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	.	.
u178471	Kitrinoviricota	Alsuviricetes	.	.	.	.
u178501	Pisuviricota	Pisoniviricetes	Picornavirales	.	.	.
u178528	Lenarviricota	Howeltoviricetes	.	.	.	.
u178548	.	.	.	.	.	.
u178598	Kitrinoviricota	Tolucaviricetes	Tolivirales	.	.	.
u17860	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	.	Scylla serrata reovirus SZ-2007
u178637	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u178761	.	.	.	.	.	.
u178826	.	.	.	.	.	.
u178827	Kitrinoviricota	Tolucaviricetes	.	.	.	.
u178920	Lenarviricota	Allassoviricetes	.	.	.	.
u178977	Pisuviricota_Kitrinoviricota	Magsaviricetes	.	.	.	.
u17899	Kitrinoviricota	Alsuviricetes	.	.	.	.
u178999	Kitrinoviricota_Pisuviricota	Duplopiviricetes	.	.	.	.
u179074	Lenarviricota	Howeltoviricetes_Amabiliviricetes	.	.	.	.
u179105	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	.	.
u179108	Lenarviricota	Howeltoviricetes_Amabiliviricetes	Cryppavirales	Mitoviridae	Mitovirus	Heterobasidion mitovirus 2
u179121	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u179139	Kitrinoviricota	Alsuviricetes	Tymovirales	.	.	.
u179182	.	.	.	.	.	.
u179199	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u179205	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	.	.
u179286	Lenarviricota	Allassoviricetes	.	.	.	.
u179363	Lenarviricota	Howeltoviricetes	.	.	.	.
u179364	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	Mitovirus	.
u179383	.	.	.	.	.	.
u179425	Pisuviricota	Duplopiviricetes	Durnavirales	.	.	.
u179502	Pisuviricota_Lenarviricota	.	.	.	.	.
u179529	Pisuviricota	.	.	.	.	.
u179555	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	.	Omono River virus
u179647	Kitrinoviricota_Duplornaviricota	Vidaverviricetes	Mindivirales	Cystoviridae	.	.
u179666	.	.	.	.	.	.
u179746	Pisuviricota_Lenarviricota	Pisoniviricetes	Picornavirales	.	.	.
u179761	.	.	.	.	.	.
u179781	.	.	.	.	.	.
u179787	Lenarviricota	Miaviricetes	.	.	.	.
u179825	Kitrinoviricota	Alsuviricetes	.	.	.	.
u179841	.	.	.	.	.	.
u179842	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	.	.
u179844	Kitrinoviricota_Pisuviricota	Magsaviricetes_Pisoniviricetes	.	.	.	.
u179880	.	.	.	.	.	.
u179923	Duplornaviricota	Chrymotiviricetes	.	.	.	.
u179989	Lenarviricota	Amabiliviricetes	Wolframvirales	.	.	.
u180014	Kitrinoviricota_Pisuviricota_Duplornaviricota	.	.	.	.	.
u18009	.	.	.	.	.	.
u180176	Pisuviricota_Kitrinoviricota_Duplornaviricota	Alsuviricetes_Tolucaviricetes	.	.	.	.
u180257	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	.	.
u180271	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	.	.
u180352	.	.	.	.	.	.
u18039	Pisuviricota	Pisoniviricetes	Nidovirales	Arteriviridae	.	Hainan hebius popei arterivirus
u180394	.	.	.	.	.	.
u180421	Pisuviricota	Duplopiviricetes	Durnavirales	Picobirnaviridae	Picobirnavirus	Picobirnavirus sp.
u180442	.	.	.	.	.	.
u180454	Kitrinoviricota_Pisuviricota	Magsaviricetes	Nodamuvirales	Nodaviridae	.	.
